postId;title;license;level;pdf;epub
1688;Dum Dum-a-Dum Biryani!;CC-BY-4.0;Level 3;/en/pdf/Dum-Dum-a-Dum-Biryani.pdf;/en/epub/Dum-Dum-a-Dum-Biryani.epub
1698;Festival, Here I Come!;CC-BY-NC-4.0;Level 3;/en/pdf/Festival-Here-I-Come.pdf;/en/epub/Festival-Here-I-Come.epub
1702;First House;CC-BY-4.0;Level 3;/en/pdf/First-House.pdf;/en/epub/First-House.epub
1720;Garden of Medicines;CC-BY-4.0;Level 3;/en/pdf/Garden-of-Medicines.pdf;/en/epub/Garden-of-Medicines.epub
1778;Holidays With Grandmother;CC-BY-4.0;Level 3;/en/pdf/Holidays-With-Grandmother.pdf;/en/epub/Holidays-With-Grandmother.epub
1790;How Does the Toothpaste Get into the Tube?;CC-BY-4.0;Level 3;/en/pdf/How-Does-the-Toothpaste-Get-into-the-Tube.pdf;/en/epub/How-Does-the-Toothpaste-Get-into-the-Tube.epub
1794;How the Tortoise Built Her House;CC-BY-4.0;Level 3;/en/pdf/How-the-Tortoise-Built-Her-House.pdf;/en/epub/How-the-Tortoise-Built-Her-House.epub
1830;Inside the World Wide Web;CC-BY-4.0;Level 3;/en/pdf/Inside-the-World-Wide-Web.pdf;/en/epub/Inside-the-World-Wide-Web.epub
1838;Jadav and the Tree-Place;CC-BY-4.0;Level 3;/en/pdf/Jadav-and-the-Tree-Place.pdf;/en/epub/Jadav-and-the-Tree-Place.epub
1848;Junior Runaway;cc-by-nc-sa-4-0;Level 3;/en/pdf/Junior-Runaway.pdf;/en/epub/Junior-Runaway.epub
1850;Just the Way I Am;CC-BY-4.0;Level 3;/en/pdf/Just-the-Way-I-Am.pdf;/en/epub/Just-the-Way-I-Am.epub
1858;Kanchha, the Rhino;CC-BY-4.0;Level 3;/en/pdf/Kanchha-the-Rhino.pdf;/en/epub/Kanchha-the-Rhino.epub
1864;Keeper And His Special Nursery;CC-BY-4.0;Level 3;/en/pdf/Keeper-And-His-Special-Nursery.pdf;/en/epub/Keeper-And-His-Special-Nursery.epub
